rank,agent,kd,kills,deaths,assists,win_rate,pick_rate,avg_score,matches,episode,act,placement
14,Killjoy,1.01,14.6,14.5,3.4,0.491,0.038,199,267820,e8,act2,diamond2
15,Chamber,1.1,16.6,15.0,3.0,0.491,0.054,221,379778,e8,act2,diamond2
16,Fade,0.95,14.3,15.0,6.4,0.49,0.016,197,111948,e8,act2,diamond2
17,Omen,0.98,14.8,15.1,7.2,0.488,0.1,202,700705,e8,act2,diamond2
18,Breach,0.93,14.4,15.4,7.0,0.476,0.02,197,141362,e8,act2,diamond2
19,Yoru,1.02,16.1,15.8,4.2,0.473,0.017,221,116345,e8,act2,diamond2
20,Neon,0.97,16.0,16.5,4.2,0.473,0.008,223,56791,e8,act2,diamond2
21,Harbor,0.92,14.1,15.2,5.8,0.458,0.005,192,38358,e8,act2,diamond2
22,Iso,1.01,16.4,16.2,4.0,0.454,0.008,228,54273,e8,act2,diamond2
23,KAY/O,0.91,14.2,15.6,9.0,0.447,0.024,201,165584,e8,act2,diamond2
1,Clove,0.97,17.2,17.7,7.0,0.536,0.001,236,5649,e8,act2,diamond1
2,Brimstone,0.96,14.4,14.9,8.7,0.505,0.033,203,275714,e8,act2,diamond1
3,Phoenix,1.1,17.1,15.5,4.5,0.505,0.027,238,223575,e8,act2,diamond1
4,Sage,0.92,13.8,15.0,6.9,0.504,0.047,191,392235,e8,act2,diamond1
5,Reyna,1.13,17.6,15.7,4.2,0.502,0.103,242,866953,e8,act2,diamond1
6,Gekko,0.93,13.9,15.0,5.0,0.498,0.05,189,422525,e8,act2,diamond1
7,Deadlock,1.01,15.1,14.9,4.2,0.497,0.01,204,80745,e8,act2,diamond1
8,Viper,1.0,14.7,14.7,5.2,0.496,0.052,202,437387,e8,act2,diamond1
9,Sova,0.98,14.4,14.7,5.4,0.496,0.062,200,518374,e8,act2,diamond1
10,Cypher,1.0,14.6,14.5,4.7,0.495,0.085,197,715429,e8,act2,diamond1
